name,link,Price,image_link,,,,
"
Jagat Royal Shahi Pulao Basmati Rice 20KG ",https://www.sastodeal.com/jagat-royal-shahi-pulao-basmati-rice-20kg-jagat-royal-shahi-pulao-basmati-rice-20kg.html,"à¤°à¥‚ 3,150",https://static.sastodeal.com//media/jagatb.png,,,,
,,,,,,,
"
Kamal Premium Sonam Rice 20 Kg ",https://www.sastodeal.com/kamal-premium-sonam-rice-20-kg-osg-kamal-0607001.html,"à¤°à¥‚ 2,250",https://static.sastodeal.com//media/seller/269509/19543/OSG-KAMAL-0607001/1a.jpg,,,,
,,,,,,,
"
Nepal Gramodhyog Prakritee Jira Masino Rice 20Kg ",https://www.sastodeal.com/nepal-gramodhyog-prakritee-jira-masino-rice-20kg-ngpl-praric-0505038.html,"à¤°à¥‚ 2,050",https://static.sastodeal.com//media/seller/270573/19383/NGPL-PRARIC-0505038/38.jpg,,,,
,,,,,,,
"
Nepal Gramodhyog Prakritee Jira Masino Rice 25 Kg ",https://www.sastodeal.com/nepal-gramodhyog-prakritee-jira-masino-rice-25-kg-ngpl-praric-0505006.html,"à¤°à¥‚ 2,500",https://static.sastodeal.com//media/seller/270573/19383/NGPL-PRARIC-0505006/6.jpg,,,,
,,,,,,,
"
Nepal Gramodhyog Prakritee Long Grain Basmati Rice 5 Kg ",https://www.sastodeal.com/nepal-gramodhyog-prakritee-long-grain-basmati-rice-5-kg-ngpl-praric-0505005.html,"à¤°à¥‚ 1,000",https://static.sastodeal.com//media/seller/270573/19383/NGPL-PRARIC-0505005/5.jpg,,,,
,,,,,,,
"
Nepal Gramodhyog Prakritee Long Grain Basmati Rice 20 Kg ",https://www.sastodeal.com/nepal-gramodhyog-prakritee-long-grain-basmati-rice-20-kg-ngpl-praric-0505004.html,"à¤°à¥‚ 3,650",https://static.sastodeal.com//media/seller/270573/19383/NGPL-PRARIC-0505004/4.jpg,,,,
,,,,,,,
"
Nepal Gramodhyog Prakritee Beaten Rice (Chiura) 1 Kg ",https://www.sastodeal.com/nepal-gramodhyog-prakritee-beaten-rice-chiura-1-kg-ngpl-praric-0505001.html,à¤°à¥‚ 105,https://static.sastodeal.com//media/seller/270573/19383/NGPL-PRARIC-0505001/1.jpg,,,,
,,,,,,,
"
Makhankhor Jeera Masino 25Kg ",https://www.sastodeal.com/makhankhor-jeera-masino-25kg-ong-ric009.html,"à¤°à¥‚ 2,300",https://static.sastodeal.com//media/seller/269509/18988/ONG-RIC009/8.jpg,,,,
,,,,,,,
"
Patanjali Diamond Rice 5Kg ",https://www.sastodeal.com/patanjali-diamond-rice-5kg-ong-ric007.html,à¤°à¥‚ 900,https://static.sastodeal.com//media/seller/269509/18988/ONG-RIC007/7.jpg,,,,
,,,,,,,
"
Patanjali Diamond Rice 20Kg ",https://www.sastodeal.com/patanjali-diamond-rice-20kg-ong-ric006.html,"à¤°à¥‚ 3,400",https://static.sastodeal.com//media/seller/269509/p/a/pantanjali-20-kg-2900.png,,,,
,,,,,,,
"
Patanjali Gold Rice 25Kg ",https://www.sastodeal.com/patanjali-gold-rice-25kg-ong-ric005.html,"à¤°à¥‚ 2,400",https://static.sastodeal.com//media/seller/269509/18988/ONG-RIC005/5.jpg,,,,
,,,,,,,
"
Newari Basmati 20Kg ",https://www.sastodeal.com/newari-basmati-20kg-ong-ric002.html,"à¤°à¥‚ 3,295",https://static.sastodeal.com//media/seller/269509/18988/ONG-RIC002/2.jpg,,,,
,,,,,,,
"
Ripuraj Rice 20Kg ",https://www.sastodeal.com/ripuraj-rice-20kg-ong-ric001.html,"à¤°à¥‚ 2,240",https://static.sastodeal.com//media/seller/269509/18988/ONG-RIC001/1.jpg,,,,
,,,,,,,
"
Jagat Premium Long Grain Basmati Rice 20KG  ",https://www.sastodeal.com/jagat-premium-long-grain-basmati-rice-20kg-jagat-premium-long-grain-basmati-rice-20kg.html,"à¤°à¥‚ 2,700",https://static.sastodeal.com//media/seller/265297/_/d/_dsc0375.jpg,,,,
,,,,,,,
"
Jagat Royal Sella Basmati Rice 20KG ",https://www.sastodeal.com/jagat-royal-sella-basmati-rice-20kg-jagat-royal-sella-basmati-rice-20kg.html,"à¤°à¥‚ 2,650",https://static.sastodeal.com//media/jagato.png,,,,
,,,,,,,
"
Jagat Health+ Sella Basmati Rice 1 KG ",https://www.sastodeal.com/jagat-health-sella-basmati-rice-1-kg-jagat-health-sella-basmati-rice-1-kg-438719.html,à¤°à¥‚ 150,https://static.sastodeal.com//media/seller/265297/_/d/_dsc0365_1.jpg,,,,
,,,,,,,
"
Jagat Premium Long Grain Basmati Rice 1KG ",https://www.sastodeal.com/jagat-premium-long-grain-basmati-rice-1kg-jagat-premium-long-grain-basmati-rice-1kg.html,à¤°à¥‚ 150,https://static.sastodeal.com//media/seller/265297/_/d/_dsc0353.jpg,,,,
,,,,,,,
"
Jagat Traditional 1121 Basmati Rice 1KG ",https://www.sastodeal.com/jagat-traditional-1121-basmati-rice-1kg-jagat-traditional-1121-basmati-rice-1kg.html,à¤°à¥‚ 200,https://static.sastodeal.com//media/seller/265297/_/d/_dsc0356_1.jpg,,,,
,,,,,,,
"
Jagat Royal 1121 Basmati Rice 20KG ",https://www.sastodeal.com/jagat-royal-1121-basmati-rice-20kg-jagat-royal-1121-basmati-rice-20kg.html,"à¤°à¥‚ 3,600",https://static.sastodeal.com//media/seller/265297/_/d/_dsc0387.jpg,,,,
,,,,,,,
